English,Vietnamese
Login,Đăng nhập
Logout,Đăng xuất
Email,Email
Password,Mật khẩu
Forgot your password?,Quên mật khẩu?
Create an account,Tạo tài khoản
Register,Đăng ký
Full Name,Họ và tên
Full name,Họ và tên
SIGN IN,ĐĂNG NHẬP
SIGN UP, ĐĂNG KÝ
Order History,Lịch sử đặt hàng
Account Details,Chi tiết tài khoản
Account details,Chi tiết tài khoản
You have not placed any orders yet,Bạn chưa có đơn hàng nào
My Account,Tài khoản của tôi
Already have an account?,Đã có tài khoản?
Contact information,Thông tin liên hệ
City,Thành phố
Account Information,Thông tin tài khoản
Address,Địa chỉ
Postcode,Mã bưu điện
Postcode is required,Cần nhập mã bưu điện
Telephone is required,Cần nhập số điện thoại
Telephone,Số điện thoại
Full name is required,Cần nhập họ và tên
Country is required,Cần nhập quốc gia
Country,Quốc gia
Province is required,Cần nhập tỉnh/thành phố
Province,Tỉnh/Thành phố
Billing Address,Địa chỉ thanh toán
Shipping Address,Địa chỉ giao hàng
Create A New Account,Tạo tài khoản mới
Contact,Liên hệ
Customer information,Thông tin khách hàng
